ID,Model,Brand,Capacity,Condition,Location,Price,Delivery Time,URL
252434843019,RS512,Westinghouse,None,Brand New,Bibra Lake^ WA^ Australia,U $120.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-RS512-Fridge-Freezer-Combo-SealsGasket-Door-Seal/252434843019?hash=item3ac64a058b:g:hKIAAOSw-VtbA42A
253148757113,SPP17P,Frigidaire & Crosley,None,Brand New,Bibra Lake^Wa^ Australia,U $60.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Frigidaire-Crosley-SPP17P-715x1110-Fridge-Seal-Door-Gasket-Seal/253148757113?hash=item3af0d77c79:g:RlkAAOSw3ONZn8uY
252034137361,81- 407C,Phillips,None,Brand New,Bibra Lake^Wa^ Australia,U $76.50,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Phillips-Fridge-Freezer-Seal-Combo-81-407C-Refrigerator-Door-Gasket-Seal/252034137361?hash=item3aae67bd11:g:BU0AAOSwueJbT0SY
263201937189,SPC15TL,Frigidaire & Crosley,None,Brand New,Bibra Lake^Wa^ Australia,U $60.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Frigidaire-Crosley-SPC15TL-650x1085-Fridge-Seal-Door-Gasket-Seal/263201937189?hash=item3d480ed725:g:RlkAAOSw3ONZn8uY
253216966561,DS870,Frigidaire & Crosley,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Frigidaire-Crosley-DS870-550X1165-Fridge-Seal-Door-Gasket-Seal/253216966561?hash=item3af4e847a1:g:dBgAAOSw0FJbc-Xt
252013091443,7408B,Fagor,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Fagor-Fridge-Seal-7408B-Door-Gasket-Seal/252013091443?hash=item3aad269a73:g:EE0AAOSw9N1VkzD0
262501141717,RP423G-R,Westinghouse,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-Fridge-Seal-RP423G-R-1530X655-Refrigerator-Door-Gasket-Seal/262501141717?hash=item3d1e498cd5:g:aaEAAOSwlGtbZA-i
253114189681,102,Frigidaire & Crosley,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Frigidaire-Crosley-102-1330X655-Fridge-Seal-Door-Gasket-Seal/253114189681?hash=item3aeec80771:g:cFUAAOSwrdFbcqIu
253114196473,115,Frigidaire & Crosley,None,Brand New,Bibra Lake^Wa^ Australia,U $60.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Frigidaire-Crosley-115-570X760-Fridge-Seal-Door-Gasket-Seal/253114196473?hash=item3aeec821f9:g:Mm4AAOSw-o9bc-b6
253547534511,RS471 -T,Westinghouse,None,Brand New,Bibra Lake^ WA^ Australia,U $110.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-RS-471-T-Fridge-Freezer-Combo-Seals-Gasket-Door-Seal/253547534511?hash=item3b089c58af:g:YOgAAOSwE-xbA3rl
252441287860,RS652F,Westinghouse,None,Brand New,Bibra Lake^ WA^ Australia,U $120.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-RS652F-Fridge-Freezer-Combo-Seals-Gasket-Door-Seal/252441287860?hash=item3ac6ac5cb4:g:5wgAAOSw5PJbA9kp
261994269291,ER48F,Fijitsu,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Fujitsu-ER48F-755x970-Fridge-Seal-Door-Gasket/261994269291?hash=item3d00134a6b:g:8pkAAOSwgQ9Vub1A
252838449553,P33,Kelvinator,None,Brand New,Bibra Lake^ WA^ Australia,U $102.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Kelvinator-Fridge-Freezer-Combo-P33-Door-Seal/252838449553?hash=item3ade589191:g:JAsAAOSweVNbYcy0
262494602778,RS512T,Westinghouse,None,Brand New,Bibra Lake^ WA^ Australia,U $120.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-RS512T-Fridge-Freezer-Combo-SealsGasket-Door-Seal/262494602778?hash=item3d1de5c61a:g:~PoAAOSwWFFbA42-
261976486882,371,Westinghouse,None,Brand New,Bibra Lake^ WA^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-Fridge-Seal-371-680x1050-Refrigerator-Door-Seal/261976486882?hash=item3cff03f3e2:g:OXIAAOSwvuhbh5QU
262019108178,ZG24FC,Zoppas,None,Brand New,Bibra Lake^Wa^ Australia,U $60.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Zoppas-Fridge-Seal-ZG24FC-955X540-Refrigerator-Door-Gasket-Seal/262019108178?hash=item3d018e4d52:g:uQwAAOSwc3ZUq0RG
252068502061,ZC24FC,Zanussi,None,Brand New,Bibra Lake^Wa^ Australia,U $60.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Zoppas-Fridge-Seal-ZC24FC-955X540-Refrigerator-Door-Gasket-Seal/252068502061?hash=item3ab0741a2d:g:uQwAAOSwc3ZUq0RG
262868235068,C360 NE,Kelvinator,None,Brand New,Bibra Lake^ WA^ Australia,U $76.50,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Kelvinator-Fridge-Freezer-Combo-C360-NE-Door-Seal/262868235068?hash=item3d342af33c:g:X0sAAOSw51xbV1Sz
263278120071,SX108,Frigidaire & Crosley,None,Brand New,Bibra Lake^Wa^ Australia,U $60.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Frigidaire-Crosley-SX108-550x1290-Fridge-Seal-Door-Gasket-Seal/263278120071?hash=item3d4c994c87:g:RlkAAOSw3ONZn8uY
262781420516,RP342,Westinghouse,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-Fridge-Seal-RP342-580X1510-Refrigerator-Door-Gasket-Seal/262781420516?hash=item3d2efe43e4:g:WdwAAOSwOvRbZAis
253168127724,CDC12-64,Frigidaire & Crosley,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Frigidaire-Crosley-CDC12-64-650X1450-Fridge-Seal-Door-Gasket-Seal/253168127724?hash=item3af1ff0eec:g:HEMAAOSw~1tbc-wI
253360938268,H728B,Pacific,None,Brand New,Bibra Lake^Wa^ Australia,U $60.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Pacific-H728B-Fridge-Seal-560X1345-Refrigerator-Door-Gasket-Seal-Screw-in/253360938268?hash=item3afd7d1d1c:g:uQwAAOSwc3ZUq0RG
252270308981,RP342K-L,Westinghouse,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-Fridge-Seal-RP342K-L-1510X580-Refrigerator-Door-Gasket-Seal/252270308981?hash=item3abc7b6e75:g:694AAOSwciVbZAnm
252839335799,LF360 A,Kelvinator,None,Brand New,Bibra Lake^ WA^ Australia,U $85.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Kelvinator-Fridge-Freezer-Combo-LF360-A-Door-Seal/252839335799?hash=item3ade661777:g:O-wAAOSwXV1bYafx
252078592038,South Africa,G.E & Rank,None,Brand New,Bibra Lake^Wa^ Australia,U $60.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/G-E-Rank-Fridge-Seal-IB12S-690x1050-Refrigerator-Door-Gasket-Seal/252078592038?hash=item3ab10e1026:g:uQwAAOSwc3ZUq0RG
263046642419,83-364C,Phillips,None,Brand New,Bibra Lake^Wa^ Australia,U $85.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Phillips-Fridge-Freezer-Seal-Combo-83-364C-Refrigerator-Door-Gasket-Seal/263046642419?hash=item3d3ecd3af3:g:lH8AAOSwYFpbT0pU
253007179831,89-29CP,Phillips,None,Brand New,Bibra Lake^Wa^ Australia,U $85.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Phillips-Fridge-Freezer-Seal-Combo-89-29CP-Refrigerator-Door-Gasket-Seal/253007179831?hash=item3ae8673037:g:TfkAAOSwuINbT03c
